ID	group	Sc	Ti	V	Cr	Mn	Co	Ni	Rb	Sr	Y	Zr	Nb	Ba	La	Ce	Pr	Nd	Sm	Eu	Gd	Tb	Dy	Ho	Er	Yb	Lu	Hf	Ta	Pb	Th	U
g29a	KREEP-rich	23.7	11624	33	1250	995	25.6	41	2.19	185	232	1139	76.5	980	74	187	24.9	114	32.4	2.78	36.5	6.26	42.4	8.89	25.7	24	3.44	24.8	3.37	1.64	15	2.93
g28a	KREEP-rich	23.3	10887	28	1225	1070	25.6	83	10.4	164	300	1462	96.2	1047	95.7	243	32.2	146	41.1	2.52	47.4	8.06	55	11.6	33.1	30.7	4.39	32.6	4.18	6.89	19.4	4.72
g36a	KREEP-rich	24.6	11019	37	1484	1038	21.6	65	1.83	179	205	995	68.2	803	66	169	22.4	103	28.4	2.51	32.3	5.53	37.9	7.85	22.8	21	2.98	21.9	2.95	0.59	13	2.87
g43a	KREEP-rich	23.5	10118	47	2008	1351	49.8	224	3.77	166	188	885	65.2	760	60.6	155	20.7	93.3	27.1	2.31	30	5.1	35.2	7.28	21	19.4	2.84	20	2.86	0.14	12	3.11
g46a	KREEP-rich	17.5	6658	41	1756	1099	33.7	32	1	149	149	722	49.1	605	47.2	120	15.9	72.7	20.5	1.83	23.2	4.01	27	5.73	16.4	15.7	2.19	16	2.07	3.73	9.65	1.46
g47a	KREEP-rich	23.9	11406	37	1541	1245	63.4	281	3.75	166	233	1119	78.1	915	73.7	186	24.7	112	31.4	2.47	35.8	6.2	42.3	8.84	26	23.9	3.42	24.7	3.45	0.66	14.6	3.08
g51a	KREEP-rich	23.7	10943	28	1112	1032	23.3	56	1.19	187	257	1227	87.4	1045	81.9	208	27.9	126	35.4	2.84	40.5	6.81	47	9.9	28.7	26.7	3.8	27	3.81	0.1	16.6	2.24
g53a	KREEP-rich	22.4	9329	40	1687	973	22.9	55	3.74	182	221	1071	75.4	900	72.8	187	24.6	112	30.3	2.55	35.6	5.98	40.6	8.48	24.5	22.7	3.25	23.7	3.4	0.78	14.1	4.8
g59a	KREEP-rich	24.9	11327	28	1294	1090	29.7	105	2.13	193	408	1745	119	1086	130	336	44.6	203	56.3	3.14	65.6	11	75.2	15.6	45.3	40.5	5.74	37	4.88	0.92	22.3	4.15
g58a	KREEP-rich	24.5	10689	42	1709	1300	63.1	307	1.99	169	218	1006	73.5	853	69.8	178	23.8	108	30.1	2.51	34.4	5.89	39.7	8.34	24	22.1	3.15	22.2	3.27	0.16	13	2.86
g61a	KREEP-rich	28.9	12163	39	1525	1166	24	92	0.97	183	294	1454	98.2	993	96.2	244	32.7	149	41.5	2.94	47.5	7.87	53.9	11.4	33.1	30.2	4.29	31.5	4.09	0.79	18.6	2.65
g64a	KREEP-rich	19.5	9943	30	1234	1020	24.8	65	1.62	182	195	936	67.8	806	63.3	169	21.7	99.1	27.2	2.29	31.2	5.3	35.7	7.58	22	20.2	2.85	20.5	2.9	0.57	12.4	2.3
b5a	KREEP-rich	23.5	11039	39	1428	1321	64.8	400	1.39	172	202	950	69	802	65.4	167	22.3	101	28.4	2.47	32.3	5.53	37.3	7.81	22.5	21.1	2.96	20.9	3.08	0.14	12.5	2
b4a	KREEP-rich	27.2	13756	32	910	1161	29.4	86	1.13	215	250	1170	84.7	1026	80.7	204	27.3	124	34.5	3.09	40	6.73	45.7	9.72	27.9	25.7	3.61	25.8	3.68	0.74	15.9	1.82
